commune,taux
"ROSIERES PRES TROYES",33.33
"SAINT JULIEN LES VILLAS",33.33
"ENGHIEN LES BAINS",31.58
DEAUVILLE,30.43
SUCY-EN-BRIE,29.41
"LE LAVANDOU",29.41
GRANVILLE,29.41
ISSY-LES-MOULINEAUX,28.57
ACHERES,27.27
VALSERHONE,27.27
PALAISEAU,26.67
SOISSONS,26.67
FONTAINEBLEAU,26.32
"MARSEILLE 12EME",25.71
CAYENNE,25.00
AUVERS-SUR-OISE,25.00
PIERRELAYE,25.00
VAUREAL,25.00
BONDOUFLE,25.00
ETIOLLES,25.00
VILLIERS-SUR-ORGE,25.00
"GIF SUR YVETTE",25.00
"SAINT RAPHAEL",25.00
SOLLIES-PONT,25.00
NEAUPHLE-LE-CHATEAU,25.00
HARFLEUR,25.00
SAINT-ROMAIN-DE-COLBOSC,25.00
COMBLOUX,25.00
LUXEUIL-LES-BAINS,25.00
"PONT STE MAXENCE",25.00
"LA TRINITE",25.00
"LA COLLE SUR LOUP",25.00
"LA MADELEINE",25.00
"VILLERS LES NANCY",25.00
"LA CHAPELLE ST MESMIN",25.00
"FLEURY LES AUBRAIS",25.00
SARROLA-CARCOPINO,25.00
FREHEL,25.00
TADEN,25.00
GEX,25.00
MONTROUGE,24.49
BEGLES,24.00
"ST JEAN DE BRAYE",23.08
SURESNES,22.92
"ST OUEN L AUMONE",22.73
TALMONT-SAINT-HILAIRE,22.22
SAINT-MANDRIER-SUR-MER,22.22
SALLANCHES,22.22
ERMONT,21.74
PUTEAUX,20.75
"ROQUEBRUNE CAP MARTIN",20.69
